
17:56;temperature;-5
17:56;wind_speed;21
17:56;pressure;733
18:14;temperature;-3
18:14;wind_speed;11
18:14;pressure;745
18:14;temperature;-3
18:14;wind_speed;8
18:14;pressure;720
18:16;temperature;-8
18:16;wind_speed;10
18:16;pressure;737
18:16;temperature;-17
18:16;wind_speed;8
18:16;pressure;726
18:16;temperature;-14
18:16;wind_speed;7
18:16;pressure;748
18:16;temperature;-13
18:16;wind_speed;29
18:16;pressure;720
18:39;temperature;-16
18:39;wind_speed;12
18:39;pressure;732
18:39;temperature;-16
18:39;wind_speed;12
18:39;pressure;735
